dataset,fold,model,Accuracy,F1,ROC-AUC,PR-AUC,SPD,DIR,EOD,A_flip_prob_rate,A_flip_class_rate
adult,4,XGBoost+RW,0.8609084880636605,0.6741747572815534,0.9215597011196256,0.8161485927861466,0.06974680642509326,0.6533376551940909,0.15911746031746032,0.0,0.014423076923076924
adult,5,LogisticRegression,0.8446875517984419,0.6553880102979036,0.9011261670968541,0.759493743337862,0.18794843267285377,0.28435694823538965,0.11985533966813217,0.388529753025029,0.08934195259406597
adult,5,XGBoost,0.8609315431791812,0.6808672499049068,0.919136876572427,0.8136420785259013,0.17344606264793055,0.28626332645987806,0.09634803573961137,0.015415216310293387,0.017072766451185148
adult,5,XGBoost+RW,0.8566219128128626,0.6645986816595579,0.9133948820097444,0.801931124214978,0.08853933965423601,0.5727060034201485,0.16228903701602615,0.000994530084535057,0.006795955577656224
adult,6,LogisticRegression,0.8524780374606332,0.6715867158671587,0.9077569200016106,0.7795955232779027,0.18287136164695245,0.29838527915129354,0.11692148224928733,0.40427647936350075,0.1009448035803083
adult,6,XGBoost,0.8662357036300348,0.6951265583679638,0.9232142033236932,0.8271750436738986,0.1770179539278564,0.2869865066116252,0.10919581929688171,0.005967180507210343,0.016243991380739266
adult,6,XGBoost+RW,0.8574506878833085,0.6704980842911877,0.9158833612859599,0.8091426115331405,0.0734501448137789,0.6467397797051586,0.18038870173620114,0.0,0.017570031493452678
adult,7,LogisticRegression,0.8519562334217506,0.6784299603889089,0.9074988777436833,0.7786126194729783,0.17763372308461578,0.3355599345379246,0.08279983891667703,0.3852785145888594,0.08255968169761273
adult,7,XGBoost,0.8643899204244032,0.7012417823228634,0.920737605813001,0.8228150957749987,0.17897855953385464,0.31504690028533144,0.0751648992246506,0.0016578249336870027,0.01889920424403183
adult,7,XGBoost+RW,0.8612400530503979,0.6866342193934856,0.9166330075542958,0.8127049879685814,0.08122414174675671,0.629929213208885,0.20155542986425334,0.0,0.011107427055702918
adult,8,LogisticRegression,0.8453249336870027,0.6522549385016773,0.9019905952494556,0.7662515219251395,0.17464015075578365,0.30890700303444996,0.12111833933345967,0.40251989389920423,0.09433023872679044
adult,8,XGBoost,0.8625663129973474,0.683466972126766,0.9189581697245608,0.8146194683720818,0.17101559680846798,0.290137094593189,0.11570068141785439,0.001823607427055703,0.02420424403183024
adult,8,XGBoost+RW,0.853945623342175,0.6554556120453656,0.9127751365932608,0.7993623711510206,0.07340924582013553,0.6309599395313681,0.19223913485897948,0.0,0.014423076923076924
adult,9,LogisticRegression,0.8454907161803713,0.665470208183776,0.906396034132562,0.76938355064187,0.20023670698764368,0.2811697312480782,0.13473989848146073,0.3927387267904509,0.09399867374005305
adult,9,XGBoost,0.8672082228116711,0.7001123174840883,0.923620088594163,0.825386519147486,0.18915950318212937,0.26069096779443557,0.162207127491602,0.009946949602122016,0.01823607427055703
adult,9,XGBoost+RW,0.8622347480106101,0.6780317706315382,0.9204181033089067,0.8135905155052743,0.09701433270410119,0.5395795193797165,0.10746341411722327,0.0003315649867374005,0.01889920424403183
adult,10,LogisticRegression,0.8546328526437925,0.674582560296846,0.9107641661335244,0.7818259995981215,0.19865444128079202,0.2435492081313422,0.1444239686125312,0.39565721863086356,0.09530913310127631
